precision,method,memory_gb
fp32,MHA,137.438953
fp32,GQA-8 heads KV,34.359738
fp32,SWA-4 096,4.294967
fp32,Latente r=512,17.179869
fp16,MHA,68.719477
fp16,GQA-8 heads KV,17.179869
fp16,SWA-4 096,2.147484
fp16,Latente r=512,8.589935
bf16,MHA,68.719477
bf16,GQA-8 heads KV,17.179869
bf16,SWA-4 096,2.147484
bf16,Latente r=512,8.589935
int8,MHA,34.359738
int8,GQA-8 heads KV,8.589935
int8,SWA-4 096,1.073742
int8,Latente r=512,4.294967
int4,MHA,17.179869
int4,GQA-8 heads KV,4.294967
int4,SWA-4 096,0.536871
int4,Latente r=512,2.147484
